date,state_po,district,held_by,winner,flipped,chamber,special_margin,pres_margin,overperformance,pres_baseline,year
2022-06-07,CA,CA-22,R,R,False,US House,-24.0,-5.0,-19.0,2020,2022
2022-06-14,ME,SD-07,D,D,False,US House,28.0,17.0,11.0,2020,2022
2022-06-28,NE,NE-01,R,R,False,US House,-5.0,-11.0,6.0,2020,2022
2022-08-09,MN,MN-01,R,R,False,US House,-4.0,-10.0,6.0,2020,2022
2022-08-16,AK,AK-AL,R,D,True,US House,3.0,-10.0,13.0,2020,2022
2022-08-23,NY,NY-23,R,R,False,US House,-5.0,-11.0,6.0,2020,2022
2022-08-23,NY,NY-19,D,D,False,US House,3.0,2.0,1.0,2020,2022
2025-01-07,VA,HD-26,D,D,False,US House,25.0,22.0,3.0,2024,2025
2025-01-07,VA,SD-10,R,R,False,US House,-16.0,-27.0,11.0,2024,2025
2025-01-07,VA,SD-32,D,D,False,US House,24.0,22.0,2.0,2024,2025
2025-01-28,MN,SD-60,D,D,False,US House,82.0,69.0,14.0,2024,2025
2025-01-28,IA,SD-35,R,D,True,US House,4.0,-21.0,25.0,2024,2025
2025-02-15,DE,SD-05,D,D,False,US House,30.0,32.0,-2.0,2024,2025
2025-02-15,DE,SD-01,D,D,False,US House,56.0,47.0,10.0,2024,2025
2025-02-25,ME,HD-24,D,D,False,US House,43.0,25.0,18.0,2024,2025
2025-02-25,CT,HD-40,D,D,False,US House,38.0,22.0,16.0,2024,2025
2025-02-25,CT,SD-21,R,R,False,US House,-7.0,-1.0,-6.0,2024,2025
2025-03-11,MN,HD-40B,D,D,False,state legislature,40.0,39.0,2.0,2024,2025
2025-03-11,IA,HD-100,R,R,False,US House,-3.0,-27.0,24.0,2024,2025
2025-03-25,PA,SD-36,R,D,True,US House,1.0,-15.0,16.0,2024,2025
2025-03-25,PA,HD-35,D,D,False,US House,28.0,16.0,13.0,2024,2025
2025-04-01,FL,FL-06,R,R,False,US House,-14.0,-30.0,16.0,2024,2025
2025-04-01,FL,FL-01,R,R,False,US House,-15.0,-37.0,23.0,2024,2025
2025-04-22,CT,HD-113,R,R,False,US House,-5.0,-11.0,6.0,2024,2025
