year,state_po,district,dem,rep,winner,winner_side,cand_keys,house_margin,contested,pres_margin,winner_prev,winner_side_prev,incumbent_side,resid_raw
2018,TN,2,86668,172856,TIM BURCHETT,R,"['SAMPLES G', 'GRUNAU J', 'LATORRE K', 'WHITMIRE M', 'HOYOS R', 'BURCHETT T']",-33.21003067153712,True,-37.341772151898724,JOHN J DUNCAN JR,R,0,4.131741480361605
2018,TN,3,84731,156512,CHUCK FLEISCHMANN,R,"['FLEISCHMANN C', 'MITCHELL D', 'TYLER R']",-29.754645730653326,True,-36.82008368200837,"CHARLES J \""CHUCK\"" FLEISCHMANN",R,-1,7.06543795135504
2018,TN,4,78065,147323,SCOTT DESJARLAIS,R,"['PHILLIPS M', 'SHUPE M', 'DESJARLAIS S', 'WRITEIN']",-30.728344011216215,True,-42.916666666666664,SCOTT DESJARLAIS,R,-1,12.188322655450449
2018,TN,5,177923,84317,JIM COOPER,D,"['COOPER J', 'BALL J', 'WRITEIN']",35.69478340451495,True,19.409282700421937,JIM COOPER,D,1,16.285500704093014
2018,TN,6,70370,172810,JOHN ROSE,R,"['ROSS D', 'BARLOW D', 'ROSE J', 'DUNN L']",-42.12517476766181,True,-50.77881619937694,DIANE BLACK,R,0,8.65364143171513
2018,TN,7,81661,170071,MARK E GREEN,R,"['LEGENDRE B', 'KANEW J', 'LADNER L', 'GREEN M']",-35.12068390192745,True,-41.06583072100313,MARSHA BLACKBURN,R,0,5.945146819075681
2018,TN,8,74755,168030,DAVID KUSTOFF,R,"['KUSTOFF D', 'PEARSON E', 'HART J']",-38.41876557447948,True,-36.70103092783505,DAVID KUSTOFF,R,-1,-1.7177346466444305
2018,TN,9,145139,34901,STEVE COHEN,D,"['BERGMANN C', 'AWGOWHAT L', 'COHEN S']",61.22972672739391,True,59.30113052415211,STEVE COHEN,D,1,1.9285962032418027
2018,TX,1,61263,168165,LOUIE GOHMERT,R,"['CALLAWAY J', 'GOHMERT L', 'MCKELLAR S']",-46.59501019927821,True,-48.10256410256411,LOUIE GOHMERT,R,-1,1.5075539032859027
2018,TX,2,119992,139188,DAN CRENSHAW,R,"['CRENSHAW D', 'GUNNELS P', 'CUBBLER S', 'LITTON T']",-7.4064356817655685,True,-9.738219895287957,TED POE,R,0,2.331784213522388
2018,TX,3,138234,169520,VAN TAYLOR,R,"['CLAYTOR C', 'BURCH L', 'TAYLOR V', 'WRITEIN']",-10.165911734697193,True,-14.884696016771484,SAM JOHNSON,R,0,4.7187842820742905
2018,TX,4,57400,188667,JOHN RATCLIFFE,R,"['KRANTZ C', 'RATCLIFFE J', 'ASHBY K']",-53.34603989970211,True,-55.144032921810705,JOHN RATCLIFFE,R,-1,1.7979930221085922
2018,TX,5,78666,130617,LANCE GOODEN,R,"['WOOD D', 'GOODEN L', 'WRITEIN']",-24.82332535370766,True,-29.278350515463924,JEB HENSARLING,R,0,4.455025161756264
2018,TX,6,116350,135961,RON WRIGHT,R,"['SANCHEZ J', 'HARBER J', 'WRIGHT R']",-7.772550542782518,True,-12.799167533818943,JOE BARTON,R,0,5.026616991036425
2018,TX,7,127959,115642,LIZZIE PANNILL FLETCHER,D,"['CULBERSON J', 'FLETCHER L']",5.056218981038666,True,1.4644351464435132,JOHN ABNEY CULBERSON,R,-1,3.5917838345951525
